"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Dec 05 17:08:43 CST 2025","Fri Dec 05 17:08:44 CST 2025","864","testcases","test_api_excel_driver","TestAllDrivers","","","test_api_case[11 - 西瓜播放列表模块-查询播放列表接口-参数校验-动作标识a非add返回空数值]","
        利用执行器执行用例

        Args:
            case (dict): 测试用例数据
            request_handler: 请求处理器fixture
        "
"passed","Fri Dec 05 17:08:36 CST 2025","Fri Dec 05 17:08:37 CST 2025","773","testcases","test_api_excel_driver","TestAllDrivers","","","test_api_case[1 - 列表模块-创建列表接口-正向-合法参数成功创建视频播放列表]","
        利用执行器执行用例

        Args:
            case (dict): 测试用例数据
            request_handler: 请求处理器fixture
        "
"passed","Fri Dec 05 17:08:37 CST 2025","Fri Dec 05 17:08:38 CST 2025","841","testcases","test_api_excel_driver","TestAllDrivers","","","test_api_case[3 - 列表模块-创建列表接口-边界值-列表名称长度等于30字（上限）成功创建列表]","
        利用执行器执行用例

        Args:
            case (dict): 测试用例数据
            request_handler: 请求处理器fixture
        "
"passed","Fri Dec 05 17:08:44 CST 2025","Fri Dec 05 17:08:45 CST 2025","851","testcases","test_api_excel_driver","TestAllDrivers","","","test_api_case[13 - 列表模块-添加视频接口-场景-同一视频再次调用接口从播放列表中移除]","
        利用执行器执行用例

        Args:
            case (dict): 测试用例数据
            request_handler: 请求处理器fixture
        "
"passed","Fri Dec 05 17:08:42 CST 2025","Fri Dec 05 17:08:42 CST 2025","213","testcases","test_api_excel_driver","TestAllDrivers","","","test_api_case[9 - 列表模块-查询列表接口-参数校验-查询列表的类型不是列表并返回类型找不到的错误请求提示]","
        利用执行器执行用例

        Args:
            case (dict): 测试用例数据
            request_handler: 请求处理器fixture
        "
"passed","Fri Dec 05 17:08:40 CST 2025","Fri Dec 05 17:08:41 CST 2025","1007","testcases","test_api_excel_driver","TestAllDrivers","","","test_api_case[7 - 列表模块-创建列表接口-正向-描述字段非空且包含特殊字符创建成功]","
        利用执行器执行用例

        Args:
            case (dict): 测试用例数据
            request_handler: 请求处理器fixture
        "
"passed","Fri Dec 05 17:08:38 CST 2025","Fri Dec 05 17:08:39 CST 2025","952","testcases","test_api_excel_driver","TestAllDrivers","","","test_api_case[4 - 列表模块-创建列表接口-边界值-列表名称长度等于0字（下限）创建失败]","
        利用执行器执行用例

        Args:
            case (dict): 测试用例数据
            request_handler: 请求处理器fixture
        "
"passed","Fri Dec 05 17:08:45 CST 2025","Fri Dec 05 17:08:46 CST 2025","934","testcases","test_api_excel_driver","TestAllDrivers","","","test_api_case[14 - 列表模块-添加视频接口-参数校验-类型不是列表且返回列表没有找到的错误请求提示]","
        利用执行器执行用例

        Args:
            case (dict): 测试用例数据
            request_handler: 请求处理器fixture
        "
"passed","Fri Dec 05 17:08:42 CST 2025","Fri Dec 05 17:08:43 CST 2025","868","testcases","test_api_excel_driver","TestAllDrivers","","","test_api_case[10 - 列表模块-查询列表接口-参数校验-查询的视频实际不存在返回空数值]","
        利用执行器执行用例

        Args:
            case (dict): 测试用例数据
            request_handler: 请求处理器fixture
        "
"passed","Fri Dec 05 17:08:37 CST 2025","Fri Dec 05 17:08:37 CST 2025","203","testcases","test_api_excel_driver","TestAllDrivers","","","test_api_case[2 - 列表模块-创建列表接口-异常-重复列表名称仍返回成功创建列表]","
        利用执行器执行用例

        Args:
            case (dict): 测试用例数据
            request_handler: 请求处理器fixture
        "
"passed","Fri Dec 05 17:08:44 CST 2025","Fri Dec 05 17:08:44 CST 2025","188","testcases","test_api_excel_driver","TestAllDrivers","","","test_api_case[12 - 列表模块-添加视频接口-正向关联场景-把查询接口查询到的最新创建的列表list给把添加视频到最新创建的列表里]","
        利用执行器执行用例

        Args:
            case (dict): 测试用例数据
            request_handler: 请求处理器fixture
        "
"passed","Fri Dec 05 17:08:41 CST 2025","Fri Dec 05 17:08:42 CST 2025","538","testcases","test_api_excel_driver","TestAllDrivers","","","test_api_case[8 - 列表模块-查询列表接口-正向-新建列表后查询返回html中包含该列表并可解析list_id]","
        利用执行器执行用例

        Args:
            case (dict): 测试用例数据
            request_handler: 请求处理器fixture
        "
"passed","Fri Dec 05 17:08:40 CST 2025","Fri Dec 05 17:08:40 CST 2025","334","testcases","test_api_excel_driver","TestAllDrivers","","","test_api_case[6 - 列表模块-创建列表接口-请求方式错误-用错误的请求方式创建列表失败返回错误的请求]","
        利用执行器执行用例

        Args:
            case (dict): 测试用例数据
            request_handler: 请求处理器fixture
        "
"passed","Fri Dec 05 17:08:46 CST 2025","Fri Dec 05 17:08:47 CST 2025","916","testcases","test_api_excel_driver","TestAllDrivers","","","test_api_case[16 - 列表模块-添加视频接口-参数校验-列表不存在返回添加的视频名字是空的返回提示（即接口返回成功但列表名称为空）]","
        利用执行器执行用例

        Args:
            case (dict): 测试用例数据
            request_handler: 请求处理器fixture
        "
"passed","Fri Dec 05 17:08:39 CST 2025","Fri Dec 05 17:08:40 CST 2025","899","testcases","test_api_excel_driver","TestAllDrivers","","","test_api_case[5 - 列表模块-创建列表接口-参数校验-创建播放列表的隐私没有选择私人的或者公开的但是仍然能创建且列表是公开的]","
        利用执行器执行用例

        Args:
            case (dict): 测试用例数据
            request_handler: 请求处理器fixture
        "
"passed","Fri Dec 05 17:08:46 CST 2025","Fri Dec 05 17:08:46 CST 2025","196","testcases","test_api_excel_driver","TestAllDrivers","","","test_api_case[15 - 列表模块-添加视频接口-参数校验-视频实际不存在返回错误提示]","
        利用执行器执行用例

        Args:
            case (dict): 测试用例数据
            request_handler: 请求处理器fixture
        "
